0	0	0
1	0.0565865	0
2	0.0884054	0
20	0	0.0303772
21	0.0513141	0.0303772
22	0.0882357	0.0303772
42	0	0.0780328
43	0.0687414	0.0780328
3	0.136061	0
4	0.172214	0
23	0.122275	0.0303772
24	0.185535	0.0303772
44	0.100397	0.0780328
45	0.164775	0.0780328
5	0.213035	0
6	0.274812	0
25	0.232212	0.0303772
26	0.297038	0.0303772
46	0.226643	0.0780328
47	0.288902	0.0780328
7	0.312496	0
8	0.375185	0
27	0.357353	0.0303772
28	0.395981	0.0303772
48	0.351944	0.0780328
9	0.437555	0
10	0.498184	0
29	0.441557	0.0303772
30	0.471932	0.0303772
49	0.405189	0.0780328
50	0.454915	0.0780328
11	0.567974	0
31	0.537057	0.0303772
32	0.572265	0.0303772
51	0.519684	0.0780328
52	0.588583	0.0780328
12	0.630949	0
13	0.694918	0
33	0.608887	0.0303772
34	0.642272	0.0303772
35	0.694368	0.0303772
53	0.649171	0.0780328
54	0.686887	0.0780328
14	0.74658	0
36	0.727303	0.0303772
37	0.774915	0.0303772
55	0.743329	0.0780328
15	0.806169	0
16	0.839862	0
17	0.884833	0
38	0.842591	0.0303772
56	0.81316	0.0780328
57	0.854421	0.0780328
18	0.933465	0
19	1	0
39	0.910739	0.0303772
40	0.941156	0.0303772
41	1	0.0303772
58	0.905719	0.0780328
59	0.936569	0.0780328
60	1	0.0780328
61	0	0.133329
62	0.0563668	0.133329
63	0.0951109	0.133329
64	0.143525	0.133329
65	0.211803	0.133329
66	0.256037	0.133329
67	0.299254	0.133329
68	0.364481	0.133329
69	0.408273	0.133329
70	0.458191	0.133329
71	0.497449	0.133329
72	0.545983	0.133329
73	0.613444	0.133329
74	0.647902	0.133329
75	0.677913	0.133329
76	0.708014	0.133329
77	0.768436	0.133329
78	0.813602	0.133329
79	0.874985	0.133329
80	0.923695	0.133329
81	0.960509	0.133329
82	1	0.133329
83	0	0.201487
84	0.0694128	0.201487
105	0	0.235073
106	0.0588876	0.235073
85	0.102473	0.201487
86	0.162566	0.201487
107	0.103401	0.235073
108	0.137992	0.235073
109	0.18685	0.235073
87	0.226988	0.201487
88	0.28408	0.201487
110	0.223288	0.235073
111	0.274189	0.235073
89	0.340383	0.201487
90	0.384797	0.201487
112	0.32508	0.235073
113	0.380925	0.235073
91	0.415439	0.201487
92	0.45233	0.201487
114	0.421953	0.235073
115	0.482834	0.235073
93	0.505797	0.201487
94	0.55316	0.201487
116	0.531353	0.235073
117	0.57512	0.235073
95	0.619199	0.201487
96	0.654436	0.201487
97	0.687468	0.201487
118	0.639421	0.235073
119	0.681005	0.235073
98	0.727716	0.201487
99	0.774186	0.201487
120	0.720942	0.235073
121	0.774633	0.235073
100	0.809378	0.201487
101	0.843255	0.201487
102	0.885483	0.201487
122	0.822329	0.235073
123	0.857117	0.235073
124	0.898589	0.235073
103	0.932545	0.201487
104	1	0.201487
125	0.930248	0.235073
126	1	0.235073
127	0	0.303092
128	0.0452678	0.303092
129	0.0785394	0.303092
149	0	0.353759
150	0.0537776	0.353759
151	0.0993042	0.353759
130	0.112351	0.303092
131	0.179466	0.303092
152	0.141557	0.353759
153	0.17206	0.353759
132	0.236183	0.303092
133	0.292726	0.303092
154	0.239466	0.353759
155	0.28041	0.353759
134	0.352399	0.303092
156	0.340401	0.353759
135	0.409364	0.303092
136	0.470861	0.303092
157	0.407051	0.353759
158	0.473952	0.353759
137	0.540151	0.303092
138	0.59008	0.303092
159	0.504558	0.353759
160	0.53526	0.353759
161	0.59826	0.353759
139	0.621481	0.303092
140	0.671952	0.303092
162	0.64793	0.353759
163	0.682977	0.353759
141	0.713794	0.303092
142	0.758667	0.303092
143	0.794396	0.303092
164	0.717503	0.353759
165	0.771418	0.353759
144	0.843551	0.303092
145	0.876916	0.303092
166	0.83969	0.353759
167	0.889345	0.353759
